author,quote,no_stopwords,lemmatized,stemmed
Ambrose Gwinett Bierce,"LAP, n. One of the most important organs of the female system --an admirable provision of nature for the repose of infancy, but chiefly useful in rural festivities to support plates of cold chicken and heads of adult males. The male of our species has a rudimentary lap, imperfectly developed and in no way contributing to the animal's substantial welfare.",LAP n One important organs female system admirable provision nature repose infancy chiefly useful rural festivities support plates cold chicken heads adult males male species rudimentary lap imperfectly developed way contributing animal substantial welfare,LAP n One important organ female system admirable provision nature repose infancy chiefly useful rural festivity support plat cold chicken head adult male male specie rudimentary lap imperfectly develop way contribute animal substantial welfare,lap n one import organ femal system admir provis natur repos infanc chiefli use rural festiv support plat cold chicken head adult male male speci rudimentari lap imperfect develop way contribut anim substanti welfar
Ambrose Gwinett Bierce,"A cat is a soft, indestructible automaton provided by nature to be kicked when things go wrong in the domestic circle.",cat soft indestructible automaton provided nature kicked things go wrong domestic circle,cat soft indestructible automaton provide nature kick thing go wrong domestic circle,cat soft indestruct automaton provid natur kick thing go wrong domest circl
Ambrose Gwinett Bierce,"OSTRICH, n. A large bird to which (for its sins, doubtless) nature has denied that hinder toe in which so many pious naturalists have seen a conspicuous evidence of design. The absence of a good working pair of wings is no defect, for, as has been ingeniously pointed out, the ostrich does not fly.",OSTRICH n large bird sins doubtless nature denied hinder toe many pious naturalists seen conspicuous evidence design absence good working pair wings defect ingeniously pointed ostrich fly,OSTRICH n large bird sin doubtless nature deny hind toe many pious naturalist see conspicuous evidence design absence good work pair wing defect ingeniously point ostrich fly,ostrich n larg bird sin doubtless natur deni hind toe mani pious naturalist see conspicu evid design absenc good work pair wing defect ingeni point ostrich fli
Ambrose Gwinett Bierce,"ACADEME, n. An ancient school where morality and philosophy were taught.",ACADEME n ancient school morality philosophy taught,ACADEME n ancient school morality philosophy teach,academ n ancient school moral philosophi teach
Ambrose Gwinett Bierce,"QUOTIENT, n. A number showing how many times a sum of money belonging to one person is contained in the pocket of another --usually about as many times as it can be got there.",QUOTIENT n number showing many times sum money belonging one person contained pocket another usually many times got,QUOTIENT n number show many time sum money belong one person contain pocket another usually many time get,quotient n number show mani time sum money belong one person contain pocket anoth usual mani time get
Ambrose Gwinett Bierce,"SATAN, n. One of the Creator's lamentable mistakes, repented in sashcloth and axes. Being instated as an archangel, Satan made himself multifariously objectionable and was finally expelled from Heaven. Halfway in his descent he paused, bent his head in thought a moment and at last went back. There is one favor that I should like to ask, said he.Name it.Man, I understand, is about to be created. He will need laws.What, wretch! you his appointed adversary, charged from the dawn of eternity with hatred of his soul --you ask for the right to make his laws?Pardon; what I have to ask is that he be permitted to make them himself. It was so ordered.",SATAN n One Creator lamentable mistakes repented sashcloth axes instated archangel Satan made multifariously objectionable finally expelled Heaven Halfway descent paused bent head thought moment last went back one favor like ask said Name Man understand created need laws wretch appointed adversary charged dawn eternity hatred soul ask right make laws Pardon ask permitted make ordered,SATAN n One Creator lamentable mistake repent sashcloth ax instated archangel Satan make multifariously objectionable finally expel Heaven Halfway descent pause bend head think moment last go back one favor like ask say Name Man understand create need law wretch appoint adversary charge dawn eternity hatred soul ask right make law Pardon ask permit make order,satan n one creator lament mistak repent sashcloth ax instat archangel satan make multifari objection final expel heaven halfway descent paus bend head think moment last go back one favor like ask say name man understand creat need law wretch appoint adversari charg dawn etern hatr soul ask right make law pardon ask permit make order
Ambrose Gwinett Bierce,"IMPENITENCE, n. A state of mind intermediate in point of time between sin and punishment.",IMPENITENCE n state mind intermediate point time sin punishment,IMPENITENCE n state mind intermediate point time sin punishment,impenit n state mind intermedi point time sin punish
Ambrose Gwinett Bierce,"MIND, n. A mysterious form of matter secreted by the brain. Its chief activity consists in the endeavor to ascertain its own nature, the futility of the attempt being due to the fact that it has nothing but itself to know itself with. From the Latin _mens_, a fact unknown to that honest shoe-seller, who, observing that his learned competitor over the way had displayed the motto _Mens conscia recti_, emblazoned his own front with the words Men's, women's and children's conscia recti.",MIND n mysterious form matter secreted brain chief activity consists endeavor ascertain nature futility attempt due fact nothing know Latin _mens_ fact unknown honest shoe seller observing learned competitor way displayed motto _Mens conscia recti_ emblazoned front words Men women children conscia recti,MIND n mysterious form matter secrete brain chief activity consist endeavor ascertain nature futility attempt due fact nothing know Latin _mens_ fact unknown honest shoe seller observe learn competitor way display motto _Mens conscia recti_ emblazon front word Men woman child conscia rectus,mind n mysteri form matter secret brain chief activ consist endeavor ascertain natur futil attempt due fact noth know latin _mens_ fact unknown honest shoe seller observ learn competitor way display motto _men conscia recti_ emblazon front word men woman child conscia rectus
Ambrose Gwinett Bierce,"MERCY, n. An attribute beloved of detected offenders.",MERCY n attribute beloved detected offenders,MERCY n attribute beloved detect offender,merci n attribut belov detect offend
Ambrose Gwinett Bierce,"PIGMY, n. One of a tribe of very small men found by ancient travelers in many parts of the world, but by modern in Central Africa only. The Pigmies are so called to distinguish them from the bulkier Caucasians --who are Hogmies.",PIGMY n One tribe small men found ancient travelers many parts world modern Central Africa Pigmies called distinguish bulkier Caucasians Hogmies,PIGMY n One tribe small men find ancient traveler many part world modern Central Africa Pigmies call distinguish bulky Caucasians Hogmies,pigmi n one tribe small men find ancient travel mani part world modern central africa pigmi call distinguish bulki caucasian hogmi
